movieId,title,year,genres,first_three_actors,director,original_language,imdb_id,movieIdInt
862,Toy Story,1995,"Animation, Comedy, Family","Tom Hanks, Tim Allen, Don Rickles",John Lasseter,en,tt0114709,670
8844,Jumanji,1995,"Adventure, Fantasy, Family","Robin Williams, Jonathan Hyde, Kirsten Dunst",Joe Johnston,en,tt0113497,2789
949,Heat,1995,"Action, Crime, Drama, Thriller","Al Pacino, Robert De Niro, Val Kilmer",Michael Mann,en,tt0113277,744
710,GoldenEye,1995,"Adventure, Action, Thriller","Pierce Brosnan, Sean Bean, Izabella Scorupco",Martin Campbell,en,tt0113189,553
1408,Cutthroat Island,1995,"Action, Adventure","Geena Davis, Matthew Modine, Frank Langella",Renny Harlin,en,tt0112760,882
524,Casino,1995,"Drama, Crime","Robert De Niro, Sharon Stone, Joe Pesci",Martin Scorsese,en,tt0112641,391
4584,Sense and Sensibility,1995,"Drama, Romance","Kate Winslet, Emma Thompson, Hugh Grant",Ang Lee,en,tt0114388,1994
5,Four Rooms,1995,"Crime, Comedy","Tim Roth, Antonio Banderas, Jennifer Beals",Allison Anders,en,tt0113101,2
8012,Get Shorty,1995,"Comedy, Thriller, Crime","John Travolta, Gene Hackman, Rene Russo",Barry Sonnenfeld,en,tt0113161,2626
1710,Copycat,1995,"Drama, Thriller","Sigourney Weaver, Holly Hunter, Will Patton",Jon Amiel,en,tt0112722,1048
451,Leaving Las Vegas,1995,"Drama, Romance","Nicolas Cage, Elisabeth Shue, Julian Sands",Mike Figgis,en,tt0113627,339
902,The City of Lost Children,1995,"Fantasy, Science Fiction, Adventure","Ron Perlman, Dominique Pinon, Judith Vittet",Jean-Pierre Jeunet,fr,tt0112682,705
63,Twelve Monkeys,1995,"Science Fiction, Thriller, Mystery","Bruce Willis, Madeleine Stowe, Brad Pitt",Terry Gilliam,en,tt0114746,29
687,Dead Man Walking,1995,Drama,"Susan Sarandon, Sean Penn, Robert Prosky",Tim Robbins,en,tt0112818,531
139405,Across the Sea of Time,1995,"Adventure, History, Drama, Family","Peter Reznick, John McDonough, Avi Hoffman",Stephen Low,en,tt0112286,6715
577,To Die For,1995,"Fantasy, Drama, Comedy, Thriller","Nicole Kidman, Matt Dillon, Joaquin Phoenix",Gus Van Sant,en,tt0114681,434
807,Se7en,1995,"Crime, Mystery, Thriller","Brad Pitt, Morgan Freeman, Gwyneth Paltrow",David Fincher,en,tt0114369,619
